date,pollutant,mean_value,neighborhood
2020-02-10,PM2.5,8.95,Washington Heights
2021-02-10,Ozone,0.033,Washington Heights
2021-02-10,PM2.5,10.45,Washington Heights
2022-02-10,Ozone,0.032,Washington Heights
2022-02-10,PM2.5,8.1,Washington Heights
2020-02-11,Ozone,0.027,Washington Heights
2020-02-11,PM2.5,8.25,Washington Heights
2021-02-11,Ozone,0.032,Washington Heights
2021-02-11,PM2.5,7.9,Washington Heights
2022-02-11,Ozone,0.035,Washington Heights
2022-02-11,PM2.5,9.9,Washington Heights
2020-02-12,Ozone,0.028,Washington Heights
2020-02-12,PM2.5,8.25,Washington Heights
2021-02-12,Ozone,0.031,Washington Heights
2021-02-12,PM2.5,6.05,Washington Heights
2022-02-12,Ozone,0.035,Washington Heights
2022-02-12,PM2.5,8.75,Washington Heights
2020-02-13,Ozone,0.025,Washington Heights
2020-02-13,PM2.5,7.6,Washington Heights
2021-02-13,Ozone,0.026,Washington Heights
2021-02-13,PM2.5,7.1,Washington Heights
2022-02-13,Ozone,0.028,Washington Heights
2022-02-13,PM2.5,5.85,Washington Heights
2020-02-14,Ozone,0.031,Washington Heights
2020-02-14,PM2.5,7.449999999999999,Washington Heights
2021-02-14,Ozone,0.026,Washington Heights
2021-02-14,PM2.5,8.75,Washington Heights
2022-02-14,Ozone,0.033,Washington Heights
2022-02-14,PM2.5,9.35,Washington Heights
2020-02-15,Ozone,0.021,Washington Heights
2020-02-15,PM2.5,6.300000000000001,Washington Heights
2021-02-15,Ozone,0.019,Washington Heights
2021-02-15,PM2.5,8.399999999999999,Washington Heights
2022-02-15,Ozone,0.031,Washington Heights
2022-02-15,PM2.5,9.55,Washington Heights
2020-02-16,Ozone,0.016,Washington Heights
2020-02-16,PM2.5,9.850000000000001,Washington Heights
2021-02-16,Ozone,0.029,Washington Heights
2021-02-16,PM2.5,6.4,Washington Heights
2022-02-16,Ozone,0.029,Washington Heights
2022-02-16,PM2.5,7.75,Washington Heights
2020-02-17,Ozone,0.033,Washington Heights
2020-02-17,PM2.5,9.9,Washington Heights
2021-02-17,Ozone,0.032,Washington Heights
2021-02-17,PM2.5,7,Washington Heights
2022-02-17,Ozone,0.034,Washington Heights
2022-02-17,PM2.5,6,Washington Heights
2020-02-18,Ozone,0.018,Washington Heights
2020-02-18,PM2.5,8.75,Washington Heights
2021-02-18,Ozone,0.018,Washington Heights
2021-02-18,PM2.5,5.85,Washington Heights
2022-02-18,Ozone,0.036,Washington Heights
2022-02-18,PM2.5,6.800000000000001,Washington Heights
2020-02-19,Ozone,0.033,Washington Heights
2020-02-19,PM2.5,7.35,Washington Heights
2021-02-19,Ozone,0.022,Washington Heights
2021-02-19,PM2.5,6.25,Washington Heights
2022-02-19,Ozone,0.037,Washington Heights
2022-02-19,PM2.5,7.15,Washington Heights
2020-02-20,Ozone,0.033,Washington Heights
2020-02-20,PM2.5,5.8,Washington Heights
2021-02-20,Ozone,0.039,Washington Heights
2021-02-20,PM2.5,9.65,Washington Heights
2022-02-20,Ozone,0.032,Washington Heights
2022-02-20,PM2.5,6.5,Washington Heights
2020-02-21,Ozone,0.034,Washington Heights
2020-02-21,PM2.5,5.4,Washington Heights
2021-02-21,Ozone,0.039,Washington Heights
2021-02-21,PM2.5,9.600000000000001,Washington Heights
2022-02-21,Ozone,0.014,Washington Heights
2022-02-21,PM2.5,11.9,Washington Heights
2020-02-22,Ozone,0.028,Washington Heights
2020-02-22,PM2.5,8.350000000000001,Washington Heights
2021-02-22,Ozone,0.023,Washington Heights
2021-02-22,PM2.5,8.15,Washington Heights
2022-02-22,Ozone,0.029,Washington Heights
2022-02-22,PM2.5,10.95,Washington Heights
2020-02-23,Ozone,0.034,Washington Heights
2020-02-23,PM2.5,9.55,Washington Heights
2021-02-23,Ozone,0.029,Washington Heights
2021-02-23,PM2.5,10.600000000000001,Washington Heights
2022-02-23,Ozone,0.034,Washington Heights
2022-02-23,PM2.5,8.6,Washington Heights
2020-02-24,Ozone,0.026,Washington Heights
2020-02-24,PM2.5,15.149999999999999,Washington Heights
2021-02-24,Ozone,0.032,Washington Heights
2021-02-24,PM2.5,7.3500000000000005,Washington Heights
2022-02-24,Ozone,0.028,Washington Heights
2022-02-24,PM2.5,6.15,Washington Heights
2020-02-25,Ozone,0.024,Washington Heights
2020-02-25,PM2.5,10.1,Washington Heights
2021-02-25,Ozone,0.039,Washington Heights
2021-02-25,PM2.5,7.1000000000000005,Washington Heights
2022-02-25,Ozone,0.029,Washington Heights
2022-02-25,PM2.5,5.65,Washington Heights
2020-02-26,Ozone,0.033,Washington Heights
2020-02-26,PM2.5,5,Washington Heights
2021-02-26,Ozone,0.034,Washington Heights
2021-02-26,PM2.5,6.55,Washington Heights
2022-02-26,Ozone,0.035,Washington Heights
2022-02-26,PM2.5,7.65,Washington Heights
2020-02-27,Ozone,0.036,Washington Heights
2020-02-27,PM2.5,4.35,Washington Heights
2021-02-27,Ozone,0.023,Washington Heights
2021-02-27,PM2.5,5.5,Washington Heights
2022-02-27,Ozone,0.041,Washington Heights
2022-02-27,PM2.5,7.5,Washington Heights
2020-02-28,Ozone,0.034,Washington Heights
2020-02-28,PM2.5,6,Washington Heights
2021-02-28,Ozone,0.023,Washington Heights
2021-02-28,PM2.5,6.85,Washington Heights
2022-02-28,Ozone,0.036,Washington Heights
2022-02-28,PM2.5,6.4,Washington Heights
2020-02-29,Ozone,0.033,Washington Heights
2020-02-29,PM2.5,6.449999999999999,Washington Heights
2020-03-01,Ozone,0.038,Washington Heights
2020-03-01,PM2.5,6.550000000000001,Washington Heights
2021-03-01,Ozone,0.038,Washington Heights
2021-03-01,PM2.5,5,Washington Heights
2022-03-01,Ozone,0.032,Washington Heights
2022-03-01,PM2.5,8.15,Washington Heights
2020-03-02,Ozone,0.033,Washington Heights
2020-03-02,PM2.5,12.9,Washington Heights
2021-03-02,Ozone,0.039,Washington Heights
2021-03-02,PM2.5,5.15,Washington Heights
2022-03-02,Ozone,0.038,Washington Heights
2022-03-02,PM2.5,10.7,Washington Heights
2020-03-03,Ozone,0.031,Washington Heights
2020-03-03,PM2.5,11.3,Washington Heights
2021-03-03,Ozone,0.034,Washington Heights
2021-03-03,PM2.5,6.949999999999999,Washington Heights
2022-03-03,Ozone,0.037,Washington Heights
2022-03-03,PM2.5,8.4,Washington Heights
2020-03-04,Ozone,0.038,Washington Heights
